PLATE,SOURCE,TIME
RJ11CV06,webcam,2026-05-23 16:09:51
RJ11CV0002,webcam,2026-05-23 16:09:51
228H6517A,webcam,2026-05-23 16:09:51
RJ16CV00,webcam,2026-05-23 16:09:51
RJ11CV0002,webcam,2026-05-23 16:09:51
RJ11CV00,webcam,2026-05-23 16:09:51
228H6517A,webcam,2026-05-23 16:09:51
RJILCV0O02,webcam,2026-05-23 16:30:50
RJILCVOO02,webcam,2026-05-23 16:30:51
RJIZCYOO02,webcam,2026-05-23 16:30:51
RJILCVOOO2,webcam,2026-05-23 16:30:51
RJILCYOOOZ,webcam,2026-05-23 16:30:51
RJ1GCY000Z,webcam,2026-05-23 16:39:02
EJAZV0002,webcam,2026-05-23 16:39:03
RJ72C0002,webcam,2026-05-23 16:39:03
R314CDO02,webcam,2026-05-23 16:39:03
R317CVOO,webcam,2026-05-23 16:39:04
BJ1C0002,webcam,2026-05-23 16:39:04
807SRF46,webcam,2026-05-23 16:40:22
3TIZDLILII,webcam,2026-05-23 16:40:24
3023QER204,webcam,2026-05-23 16:40:24
RJILCV0O0Z,webcam,2026-05-23 16:44:18
RJILCVOO02,webcam,2026-05-23 16:44:19
RJILCVOOO2I,webcam,2026-05-23 16:44:19
RJ1LCV0002,webcam,2026-05-23 16:44:20
RJ1ZCVOOO2,webcam,2026-05-23 16:44:21
RJILCVOO02,webcam,2026-05-23 16:44:22
RJIZCVOO02,webcam,2026-05-23 16:44:22
RJ1LCV0002,webcam,2026-05-23 16:49:54
RJ1LCV0002,webcam,2026-05-23 16:49:54
RJ1LCV0002,webcam,2026-05-23 16:49:55
RJ1LCV0002,webcam,2026-05-23 16:49:55
RJ1LCV0002,webcam,2026-05-23 16:49:56
RJ1LC0002,webcam,2026-05-23 16:49:57
RJ1GCY0002,webcam,2026-05-23 16:49:58
RJ1LCV0002,webcam,2026-05-23 16:49:58
RJ1LCY0002,webcam,2026-05-23 16:49:59
RJT2CV0002,webcam,2026-05-23 16:56:53
RJ11CV0002,webcam,2026-05-23 16:56:53
RJ11CV0002,webcam,2026-05-23 16:56:53
RJ11CVO0021,webcam,2026-05-23 16:56:54
RJ11CV0002,webcam,2026-05-23 16:56:54
RJ1GCV0002,webcam,2026-05-23 16:56:54
RJ11CV0002,webcam,2026-05-23 16:56:55
